,itemid,num_patients
0,640,16772
1,641,1008
2,642,18684
3,643,4423
4,644,22325
5,645,4205
6,646,22426
7,647,232
8,648,5014
9,649,1801
10,650,20
11,651,7567
12,652,7575
13,653,54
14,654,35
15,655,7767
16,656,11753
17,657,12327
18,659,6129
19,660,14358
20,661,3700
21,662,5630
22,663,21123
23,664,3452
24,665,491
25,666,775
26,667,79
27,668,447
28,669,464
29,670,496
30,671,508
31,672,466
32,673,471
33,674,22392
34,676,7918
35,677,21956
36,678,21961
37,679,5916
38,680,16067
39,681,26
40,682,12756
41,683,12736
42,684,11301
43,686,983
44,687,1123
45,688,1181
46,690,1255
47,691,1233
48,692,1257
49,693,290
50,694,53
51,695,8
52,696,2
53,697,333
54,698,54
55,699,8
56,700,2
57,701,24
58,702,115
59,703,59
60,704,22301
61,705,4502
62,706,22111
63,707,22357
64,708,18
65,709,15
66,710,75
67,711,48
68,712,11
69,713,46
70,715,48
71,716,21
72,717,3854
73,718,1048
74,719,2810
75,720,13273
76,721,3460
77,722,13258
78,723,22399
79,724,87
80,725,83
81,726,89
82,727,84
83,728,75
84,729,67
85,730,2851
86,731,5605
87,732,12601
88,733,12579
89,734,1149
90,735,150
91,741,75
