,itemid,num_patients
0,250,2240
1,253,802
2,254,550
3,256,773
4,259,262
5,260,172
6,262,255
7,265,93
8,266,52
9,268,91
10,271,35
11,272,19
12,274,34
13,283,13954
14,284,10588
15,285,4065
16,286,1591
17,287,563
18,288,176
19,289,54
20,290,21
21,294,21756
22,297,18826
23,300,10053
24,303,3309
25,308,88
26,309,46
27,310,89
28,311,46
29,320,4069
30,321,1134
31,322,621
32,323,245
33,324,21626
34,325,18604
35,326,9038
36,327,3266
37,338,5300
38,339,2707
39,340,1326
40,341,618
41,342,270
42,343,77
43,344,7269
44,345,3659
45,346,1817
46,347,824
47,348,372
48,349,103
49,350,1426
50,351,85
51,352,5539
52,353,2885
53,354,677
54,355,302
55,356,7090
56,357,3559
57,358,1762
58,359,808
59,360,358
60,361,103
61,362,6043
62,363,3118
63,364,1563
64,365,722
65,366,317
66,367,91
67,368,2888
68,369,1437
69,370,665
70,371,314
71,372,135
72,373,39
73,374,7517
74,375,3764
75,376,1850
76,377,845
77,378,381
78,379,104
79,380,2505
80,381,1411
81,382,983
82,383,223
83,384,76
84,385,30
85,386,7590
86,387,3727
87,388,3198
88,389,876
89,390,221
90,391,66
91,392,9706
92,393,5964
93,394,4151
94,395,1055
95,396,242
96,397,67
97,398,9844
98,399,6059
99,400,4200
100,401,243
101,402,70
102,403,1070
103,404,574
104,405,167
105,406,57
106,407,45
107,408,14
108,409,9
109,410,6354
110,411,9863
111,412,6065
112,413,4199
113,414,1076
114,415,247
115,416,72
116,417,12751
117,419,1372
118,420,1
119,421,5474
120,422,5428
121,423,6924
122,424,2750
123,425,22367
124,426,6911
125,427,1396
126,428,22367
127,429,15
128,430,5469
129,431,5424
130,432,22405
131,434,13229
132,435,135
133,436,2837
134,437,120
135,438,7
136,439,4140
137,440,2342
138,441,512
139,442,605
140,443,570
141,444,13193
142,445,16
143,446,4806
144,447,339
145,448,11
146,449,1280
147,450,13252
148,453,62
149,454,22397
150,455,21843
151,456,21818
152,457,390
153,458,74
154,459,3122
155,460,434
156,461,527
157,462,512
158,463,565
159,464,599
160,465,3555
161,466,5089
162,467,23574
163,468,4194
164,469,6
165,470,19437
166,471,4029
167,472,3704
168,473,3680
169,474,62
170,477,17436
171,478,22373
172,479,22382
173,480,251
174,481,238
175,482,141
176,483,134
177,484,227
178,485,214
179,486,188
180,487,492
181,490,1194
182,491,2816
183,492,6250
184,493,1682
185,494,807
186,495,770
187,496,1699
188,497,1619
189,498,1693
190,499,1694
191,500,1568
192,501,61
193,502,50
194,503,136
195,504,3508
196,505,1838
197,506,13269
198,507,1202
199,508,589
200,509,318
201,510,30
202,511,9
203,512,2565
204,513,1494
205,515,4758
206,516,4807
207,517,4432
208,518,4541
209,519,4263
210,520,120
211,521,4252
212,522,15568
213,523,181
214,524,15223
215,525,21263
216,526,17108
217,527,18432
218,529,988
219,530,3702
220,531,5
221,532,1082
222,533,9
223,534,39
224,535,12769
225,536,3
226,537,166
227,538,130
228,539,164
229,541,2
230,542,147
231,543,12314
232,544,3
233,545,7248
234,546,192
235,547,21850
236,548,14118
237,549,21455
238,550,21557
239,551,2009
240,552,607
241,553,208
242,554,647
243,555,929
244,556,301
245,557,96
246,558,1643
247,559,507
248,560,180
249,561,1300
250,562,441
251,563,150
252,564,1743
253,565,528
254,566,173
255,567,2090
256,568,636
257,569,225
258,570,2054
259,571,621
260,572,216
261,573,1461
262,574,466
263,575,158
264,576,2115
265,577,230
266,578,12635
267,579,1706
268,580,14845
269,581,16519
270,582,17578
271,583,99
272,584,13309
273,585,13450
274,586,861
275,587,2
276,588,2147
277,589,2097
278,590,6930
279,591,3090
280,592,1584
281,593,22366
282,594,5897
283,595,7611
284,596,6916
285,597,969
286,598,1553
287,599,22366
288,600,11
289,601,2141
290,602,2092
291,603,968
292,604,15053
293,605,13999
294,606,497
295,607,499
296,608,527
297,609,2219
298,610,13751
299,611,497
300,612,464
301,613,11
