,itemid,num_patients
0,7000,1
1,7002,1
2,7003,1
3,7004,1
4,7009,1
5,7015,1
6,7018,1
7,7019,2
8,7020,1
9,7021,1
10,7022,1
11,7023,1
12,7025,1
13,7026,1
14,7027,3
15,7029,2
16,7031,2
17,7032,1
18,7033,4
19,7036,1
20,7041,1
21,7043,1
22,7044,1
23,7045,1
24,7051,1
25,7052,1
26,7058,2
27,7060,1
28,7061,1
29,7062,1
30,7063,2
31,7065,1
32,7070,1
33,7073,6
34,7074,625
35,7075,389
36,7076,24
37,7078,42
38,7081,1
39,7082,1
40,7084,1
41,7085,1
42,7086,1
43,7088,1
44,7089,1
45,7090,2
46,7091,1
47,7092,2
48,7093,1
49,7094,2
50,7095,8
51,7096,1
52,7107,2
53,7108,11
54,7111,1
55,7112,1
56,7114,2
57,7116,1
58,7118,3
59,7119,1
60,7120,1
61,7121,1
62,7123,1
63,7124,1
64,7126,1
65,7128,1
66,7132,1
67,7133,1
68,7135,1
69,7138,1
70,7141,1
71,7146,1
72,7151,2262
73,7158,1
74,7161,7
75,7166,1
76,7170,1
77,7174,1
78,7176,1
79,7179,1
80,7182,1
81,7185,1
82,7193,1
83,7194,1
84,7200,2
85,7204,1
86,7209,1
87,7210,1
88,7211,1
89,7213,1
90,7214,1
91,7219,1
92,7220,1
93,7221,1
94,7222,1
95,7223,1
96,7225,2
97,7226,3
98,7227,2
99,7229,1
100,7232,2
101,7234,1
102,7235,1
103,7236,1
104,7241,1
105,7242,1
106,7243,1
107,7245,1
108,7246,1
109,7251,1
110,7252,2
111,7253,1
112,7254,1
113,7258,1
114,7259,5
115,7260,1
116,7262,1
117,7263,1
118,7268,3
119,7269,1
120,7272,1
121,7276,1
122,7277,3
123,7280,1
124,7281,2
125,7286,2
126,7287,1
127,7288,1
128,7289,1
129,7292,1
130,7293,1
131,7294,2
132,7300,5
133,7301,1
134,7303,1
135,7308,1
136,7318,1
137,7319,1
138,7325,1
139,7327,1
140,7328,1
141,7332,1
142,7337,1
143,7338,1
144,7339,1
145,7341,1
146,7345,1
147,7349,6
148,7351,2
149,7352,1
150,7353,1
151,7354,1
152,7355,1
153,7356,1
154,7359,1
155,7361,1
156,7362,2
157,7363,2
158,7364,1
159,7372,1
160,7375,1
161,7379,4
162,7380,1
163,7383,1
164,7385,1
165,7389,1
166,7391,1
167,7394,1
168,7396,1
169,7397,1
170,7400,1
171,7402,1
172,7403,1
173,7406,1
174,7407,1
175,7409,1
176,7414,5
177,7421,1
178,7422,1
179,7423,1
180,7424,1
181,7425,1
182,7431,5
183,7435,1
184,7439,1
185,7440,1
186,7443,1
187,7449,1
188,7453,2
189,7454,7
190,7458,1
191,7459,1
192,7460,1
193,7461,1
194,7462,1
195,7464,1
196,7469,4
197,7470,1
198,7471,2
199,7474,1
200,7477,1
201,7482,1
202,7485,1
203,7486,1
204,7488,1
205,7493,1
206,7499,1
207,7500,1
208,7504,1
209,7505,2
210,7508,1
211,7515,5
212,7516,1
213,7517,1
214,7520,1
215,7524,2
216,7528,1
217,7531,2
218,7532,1
219,7534,1
220,7535,1
221,7540,1
222,7541,1
223,7542,1
224,7544,1
225,7546,1
226,7547,1
227,7550,3
228,7551,1
229,7565,1
230,7568,1
231,7570,1
232,7571,1
233,7573,2
234,7574,3
235,7579,1
236,7581,1
237,7582,1
238,7585,3
239,7587,2
240,7589,1
241,7592,1
242,7594,1
243,7595,1
244,7597,1
245,7599,3
246,7600,1
247,7601,1
248,7602,3
249,7606,1
250,7607,1
251,7608,1
252,7610,1
253,7611,1
254,7612,2
255,7614,1
256,7615,1
257,7618,1
258,7620,1
259,7622,1
260,7625,1
261,7626,1
262,7631,2
263,7632,1
264,7638,1
265,7639,2
266,7642,1
267,7643,1
268,7645,1
269,7646,1
270,7647,1
271,7648,1
272,7649,1
273,7650,1
274,7652,3
275,7654,1
276,7655,1
