,itemid,num_patients
0,6000,1
1,6001,2
2,6002,2
3,6003,1
4,6005,1
5,6006,1
6,6007,1
7,6008,2
8,6009,1
9,6010,8
10,6011,1
11,6012,8
12,6013,8
13,6014,1
14,6015,1
15,6016,2
16,6017,1
17,6018,2
18,6019,1
19,6020,1
20,6021,1
21,6022,1
22,6023,1
23,6024,1
24,6025,1
25,6026,1
26,6027,1
27,6028,2
28,6029,1
29,6030,1
30,6031,1
31,6032,1
32,6033,4
33,6034,1
34,6035,1
35,6036,1
36,6037,1
37,6038,8
38,6039,2
39,6041,2
40,6042,2
41,6043,1
42,6044,1
43,6045,1
44,6046,3
45,6047,1
46,6048,1
47,6049,22
48,6050,1
49,6051,84
50,6052,1
51,6053,1
52,6054,1
53,6055,1
54,6056,1
55,6057,1
56,6058,1
57,6060,1
58,6061,1
59,6062,1
60,6063,1
61,6064,1
62,6065,1
63,6066,1
64,6067,1
65,6068,1
66,6069,1
67,6070,1
68,6071,2
69,6072,1
70,6073,3
71,6074,2
72,6075,1
73,6076,1
74,6078,1
75,6079,1
76,6081,3
77,6082,1
78,6083,1
79,6084,1
80,6085,1
81,6086,1
82,6087,1
83,6088,1
84,6090,1
85,6091,1
86,6092,1
87,6093,1
88,6094,2
89,6095,5
90,6096,1
91,6097,1
92,6098,1
93,6099,3
94,6100,3
95,6101,3
96,6102,3
97,6103,3
98,6104,1
99,6105,1
100,6106,1
101,6107,1
102,6108,1
103,6109,1
104,6110,1
105,6111,1
106,6112,1
107,6113,1
108,6114,2
109,6115,1
110,6116,1
111,6117,1
112,6118,1
113,6119,7
114,6120,1
115,6121,7
116,6122,1
117,6123,1
118,6124,1
119,6125,1
120,6126,1
121,6127,1
122,6128,1
123,6129,1
124,6130,1
125,6131,1
126,6132,1
127,6133,1
128,6134,1
129,6135,1
130,6137,1
131,6142,1
132,6143,1
133,6144,1
134,6145,1
135,6146,1
136,6147,2
137,6148,3
138,6149,2
139,6150,2
140,6151,2
141,6153,1
142,6154,2
143,6155,1
144,6156,1
145,6157,1
146,6158,1
147,6160,1
148,6161,1
149,6162,1
150,6163,1
151,6164,1
152,6165,2
153,6166,1
154,6167,1
155,6168,1
156,6169,1
157,6170,1
158,6171,1
159,6172,1
160,6173,3
161,6174,1
162,6175,1
163,6177,3
164,6178,5
165,6179,1
166,6180,6
167,6181,1
168,6182,1
169,6183,1
170,6184,1
171,6185,1
172,6186,1
173,6187,1
174,6188,1
175,6189,1
176,6190,1
177,6191,1
178,6192,1
179,6193,1
180,6196,1
181,6197,2
182,6198,1
183,6199,1
184,6200,3
185,6201,5
186,6202,1
187,6203,1
188,6204,2
189,6205,1
190,6206,7195
191,6207,7185
192,6208,7775
193,6209,1
194,6210,1
195,6211,1
196,6212,2
197,6213,3
198,6214,1
199,6215,3
200,6216,1
201,6217,1
202,6219,1
203,6220,1
204,6221,1
205,6222,1
206,6223,1
207,6224,1
208,6225,1
209,6226,1
210,6227,1
211,6228,1
212,6230,6
213,6231,1
214,6232,1
215,6233,1
216,6234,2
217,6235,1
218,6236,1
219,6237,1
220,6238,1
221,6239,1
222,6240,1
223,6243,1
224,6244,1
225,6245,1
226,6246,1
227,6247,1
228,6248,1
229,6249,1
230,6250,1
231,6251,1
232,6252,2
233,6253,1
234,6254,1
235,6255,1
236,6256,2
237,6257,1
238,6258,2
239,6259,1
240,6260,1
241,6261,3
242,6262,1
243,6263,1
244,6264,1
245,6265,1
246,6266,1
247,6267,6
248,6268,2
249,6269,1
250,6270,1
251,6271,1
252,6272,1
253,6273,3
254,6274,1
255,6275,1
256,6276,1
257,6277,1
258,6278,4
259,6279,1
260,6280,2
261,6281,1
262,6282,19
263,6283,1
264,6284,2
265,6285,1
266,6286,1
267,6287,1
268,6288,2
269,6289,1
270,6290,1
271,6291,1
272,6292,1
273,6293,1
274,6294,1
275,6296,2
276,6297,1
277,6298,1
278,6299,5
279,6300,1
280,6301,2
281,6302,2
282,6303,1
283,6304,1
284,6305,1
285,6306,1
286,6307,1
287,6308,4
288,6309,1
289,6310,1
290,6311,1
291,6312,6
292,6313,1
293,6315,3
294,6316,1
295,6317,1
296,6319,1
297,6322,1
298,6323,1
299,6324,1
300,6326,3
301,6330,10
302,6332,1
303,6333,12
304,6334,1
305,6336,4
306,6337,1
307,6338,1
308,6339,1
309,6342,1
310,6344,7
311,6346,7
312,6347,1
313,6349,1
314,6350,1
315,6351,2
316,6352,1
317,6353,1
318,6359,1
319,6363,1
320,6364,1
321,6366,2
322,6367,1
323,6368,2
324,6369,2
325,6375,5
326,6378,4
327,6379,6
328,6381,39
329,6384,5
330,6391,1
331,6394,2
332,6395,6
333,6396,6
334,6398,1
335,6399,1
336,6402,1
337,6406,1
338,6407,1
339,6408,2
340,6409,4
341,6410,1
342,6411,1
343,6414,1
344,6415,1
345,6416,1
346,6417,3
347,6419,1
348,6420,1
349,6422,1
350,6423,2
351,6424,1
352,6428,1
353,6429,1
354,6430,1
355,6433,1
356,6434,2
357,6437,1
358,6438,2
359,6439,2
360,6443,1
361,6444,1
362,6448,1
363,6449,1
364,6451,15
